"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11498","Switch to Ukrainian language explicitly","","Tue Nov 04 22:20:55 UTC 2025","passed","Tue Nov 04 22:21:06 UTC 2025","","","",""
"","26073","Verify price sorting maintains after page refresh","","Tue Nov 04 22:27:19 UTC 2025","passed","Tue Nov 04 22:27:45 UTC 2025","","","",""
"","11764","Verify Ukrainian language setting","","Tue Nov 04 22:21:56 UTC 2025","passed","Tue Nov 04 22:22:08 UTC 2025","","","",""
"","55758","Verify product details in cart","","Tue Nov 04 22:17:44 UTC 2025","passed","Tue Nov 04 22:18:40 UTC 2025","","","",""
"","26915","Navigate to specific category","","Tue Nov 04 22:22:35 UTC 2025","broken","Tue Nov 04 22:23:02 UTC 2025","","","",""
"","67066","Cart counter updates correctly","","Tue Nov 04 22:19:04 UTC 2025","passed","Tue Nov 04 22:20:11 UTC 2025","","","",""
"","26950","View all main categories","","Tue Nov 04 22:23:29 UTC 2025","broken","Tue Nov 04 22:23:56 UTC 2025","","","",""
"","26814","Navigate to Tablets category","","Tue Nov 04 22:23:02 UTC 2025","broken","Tue Nov 04 22:23:29 UTC 2025","","","",""
"","24245","Increase product quantity in cart","","Tue Nov 04 22:18:40 UTC 2025","broken","Tue Nov 04 22:19:04 UTC 2025","","","",""
"","11582","Search for product in English","","Tue Nov 04 22:25:45 UTC 2025","passed","Tue Nov 04 22:25:56 UTC 2025","","","",""
"","69679","Add multiple products to cart","","Tue Nov 04 22:15:35 UTC 2025","passed","Tue Nov 04 22:16:45 UTC 2025","","","",""
"","59095","Remove product from cart","","Tue Nov 04 22:16:45 UTC 2025","passed","Tue Nov 04 22:17:44 UTC 2025","","","",""
"","26950","Return to home from category","","Tue Nov 04 22:24:23 UTC 2025","broken","Tue Nov 04 22:24:50 UTC 2025","","","",""
"","10867","Search for product in Ukrainian","","Tue Nov 04 22:25:34 UTC 2025","passed","Tue Nov 04 22:25:45 UTC 2025","","","",""
"","60883","Add product to empty cart","","Tue Nov 04 22:14:34 UTC 2025","passed","Tue Nov 04 22:15:35 UTC 2025","","","",""
"","7916","Search with empty query","","Tue Nov 04 22:25:14 UTC 2025","passed","Tue Nov 04 22:25:22 UTC 2025","","","",""
"","27119","Open catalog menu","","Tue Nov 04 22:22:08 UTC 2025","broken","Tue Nov 04 22:22:35 UTC 2025","","","",""
"","16646","Verify language persists after search","","Tue Nov 04 22:21:40 UTC 2025","passed","Tue Nov 04 22:21:56 UTC 2025","","","",""
"","11764","Search with specific product name","","Tue Nov 04 22:25:02 UTC 2025","passed","Tue Nov 04 22:25:14 UTC 2025","","","",""
"","17673","Sort products by novelty","","Tue Nov 04 22:27:01 UTC 2025","passed","Tue Nov 04 22:27:19 UTC 2025","","","",""
"","33526","Verify language persists after navigation","","Tue Nov 04 22:21:06 UTC 2025","broken","Tue Nov 04 22:21:40 UTC 2025","","","",""
"","16919","Sort products by price from high to low","","Tue Nov 04 22:26:27 UTC 2025","passed","Tue Nov 04 22:26:44 UTC 2025","","","",""
"","12764","Successful product search with valid query","","Tue Nov 04 22:24:50 UTC 2025","passed","Tue Nov 04 22:25:02 UTC 2025","","","",""
"","17966","Sort products by price from low to high","","Tue Nov 04 22:26:09 UTC 2025","passed","Tue Nov 04 22:26:27 UTC 2025","","","",""
"","11599","Search using Enter key","","Tue Nov 04 22:25:22 UTC 2025","passed","Tue Nov 04 22:25:34 UTC 2025","","","",""
"","12835","Multiple word search query","","Tue Nov 04 22:25:56 UTC 2025","passed","Tue Nov 04 22:26:09 UTC 2025","","","",""
"","17260","Sort products by rating","","Tue Nov 04 22:26:44 UTC 2025","passed","Tue Nov 04 22:27:01 UTC 2025","","","",""
"","26933","Navigate using breadcrumbs","","Tue Nov 04 22:23:56 UTC 2025","broken","Tue Nov 04 22:24:23 UTC 2025","","","",""
"","5829","Verify default language is Ukrainian","","Tue Nov 04 22:20:49 UTC 2025","passed","Tue Nov 04 22:20:55 UTC 2025","","","",""
"","13594","Empty cart shows appropriate message","","Tue Nov 04 22:20:11 UTC 2025","passed","Tue Nov 04 22:20:25 UTC 2025","","","",""
"","24241","Navigate to cart and back to shopping","","Tue Nov 04 22:20:25 UTC 2025","broken","Tue Nov 04 22:20:49 UTC 2025","","","",""
